form	lemma	POS	morph	treated_token
Vide	aideo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	vide
humilitatem	humilitas	NOMcom	Case=Acc|Numb=Sing	humilitatem
meam	meus	PROpos	Case=Acc|Numb=Sing	meam
et	et2	CONcoo	MORPH=empty	et
eripe	eripio	VER	Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	eripe
me	ego	PROper	Case=Acc|Numb=Sing	me
quia	quia	CONsub	MORPH=empty	quia
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
tuam	tuus	PROpos	Case=Acc|Numb=Sing	tuam
non	non	ADVneg	MORPH=empty	non
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1	sum
oblitus	obliuiscor	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Dep|Person=2	oblitus
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquum	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	reliqua
.	.	PUNC	MORPH=empty	.
Multa	multus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	multa
quidem	quidem	ADV	Deg=Pos	quidem
nobis	nos	PROper	Case=Dat|Numb=Plur	nobis
atque	atque1	CONcoo	MORPH=empty	atque
magna	magnus	ADJqua	Case=Acc|Numb=Plur|Deg=Pos	magna
sanctus	sanctus	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	sanctus
propheta	prophetus	ADJqua	Case=Acc|Numb=Plur	propheta
fidei	fides?	NOMcom	Case=Gen|Numb=Sing	fidei
confessionis	confessio	NOMcom	Case=Gen|Numb=Sing	confessionis
-que	que	CONcoo	MORPH=empty	-que
suae	suus	PROpos.ref	Case=Gen|Numb=Sing	suae
toto	totus	PROind	Case=Abl|Numb=Sing	toto
in	in	PRE	MORPH=empty	in
psalmo	psalmum	NOMcom	Case=Abl|Numb=Sing	psalmo
proposuit	propono	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	proposuit
exempla	exemplum	NOMcom	Case=Acc|Numb=Plur	exempla
per	per	PRE	MORPH=empty	per
quae	qui1	PROrel	Case=Acc|Numb=Plur	quae
formam	forma	NOMcom	Case=Acc|Numb=Sing	formam
