form	lemma	POS	morph	treated_token
Legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
stat	sto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	stat
-ue	ue	CONcoo	MORPH=empty	-ue
mihi	ego	PROper	Case=Dat|Numb=Sing	mihi
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
tuarum	tuus	PROpos	Case=Gen|Numb=Plur	tuarum
et	et2	CONcoo	MORPH=empty	et
reliqua	reliquus	NOMcom	Case=Nom|Numb=Sing	reliqua
.	.	PUNC	MORPH=empty	.
Inusitatam	inusitatus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	inusitatam
ac	ac1	CONcoo	MORPH=empty	ac
nouam	nouus	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	nouam
deprecationem	deprecatio	NOMcom	Case=Acc|Numb=Sing	deprecationem
prophetae	prophetus	ADJqua	Case=Nom|Numb=Plur|Deg=Pos	prophetae
in	in	PRE	MORPH=empty	in
primo	primus	ADJord	Case=Abl|Numb=Sing|Deg=Sup	primo
quintae	quintus	ADJord	Case=Gen|Numb=Sing|Deg=Pos	quintae
litterae	littera	NOMcom	Case=Nom|Numb=Plur	litterae
uersu	uersus1	NOMcom	Case=Abl|Numb=Sing	uersu
inuenimus	inuenio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	inuenimus
.	.	PUNC	MORPH=empty	.
ita	ita	ADV	Deg=Pos	ita
enim	enim2	CONcoo	MORPH=empty	enim
coepit	coepio	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	coepit
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
domi	domus	NOMcom	Case=Loc|Numb=Sing	domi
-ne	ne2	CONcoo	MORPH=empty	-ne
uiam	uia	NOMcom	Case=Acc|Numb=Sing	uiam
iustificationum	iustificatio	NOMcom	Case=Gen|Numb=Plur	iustificationum
tuarum	tuus	PROpos	Case=Gen|Numb=Plur	tuarum
;	;	PUNC	MORPH=empty	;
sed	sed	CONcoo	MORPH=empty	sed
rationem	ratio	NOMcom	Case=Acc|Numb=Sing	rationem
consequi	consequor	VER	Mood=Inf|Tense=Pres|Voice=Dep	consequi
uersus	uersus1	NOMcom	Case=Nom|Numb=Plur	uersus
huius	hic1	PROdem	Case=Gen|Numb=Sing	huius
ex	ex	PRE	MORPH=empty	ex
latina	latina	NOMcom	Case=Abl|Numb=Sing	latina
interpretatio	interpretatio	NOMcom	Case=Nom|Numb=Sing	interpretatio
-ne	ne2	CONcoo	MORPH=empty	-ne
difficile	difficilis	ADJqua	Case=Nom|Numb=Sing|Deg=Pos	difficile
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
.	.	PUNC	MORPH=empty	.
per	per	PRE	MORPH=empty	per
condicionem	condicio	NOMcom	Case=Acc|Numb=Sing	condicionem
enim	enim2	CONcoo	MORPH=empty	enim
communis	communis	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	communis
sermonis	sermo	NOMcom	Case=Gen|Numb=Sing	sermonis
nostri	noster	PROpos	Case=Gen|Numb=Sing	nostri
non	non	ADVneg	MORPH=empty	non
ita	ita	ADV	Deg=Pos	ita
absolute	absolute	ADV	Deg=Pos	absolute
potuit	possum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	potuit
uirtus	uirtus	NOMcom	Case=Nom|Numb=Sing	uirtus
uerbi	uerbum	NOMcom	Case=Gen|Numb=Sing	uerbi
et	et2	CONcoo	MORPH=empty	et
hebraici	hebracus	NOMcom	Case=Gen|Numb=Sing	hebraici
et	et2	CONcoo	MORPH=empty	et
graeci	graecus	ADJqua	Case=Gen|Numb=Sing|Deg=Pos	graeci
explicari	explico	VER	Mood=Inf|Tense=Pres|Voice=Pass	explicari
.	.	PUNC	MORPH=empty	.
Graeci	graecus	ADJqua	Case=Nom|Numb=Plur	graeci
namque	namque	CONcoo	MORPH=empty	namque
ex	ex	PRE	MORPH=empty	ex
transtulerunt	transfero	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3	transtulerunt
KVQVS	cies	NOMcom	Case=Acc|Numb=Plur	kvqvs
TCOV	tcous	NOMcom	Case=Nom|Numb=Sing	tcov
GOV	gos	NOMcom	Case=Nom|Numb=Sing	gov
.	.	PUNC	MORPH=empty	.
orat	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	orat
enim	enim2	CONcoo	MORPH=empty	enim
in	in	PRE	MORPH=empty	in
hoc	hic1	PROdem	Case=Abl|Numb=Sing	hoc
uersu	uersus1	NOMcom	Case=Abl|Numb=Sing	uersu
ut	ut4	CONsub	MORPH=empty	ut
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
lex	lex	NOMcom	Case=Nom|Numb=Sing	lex
statuatur	statuo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3	statuatur
iustificationum	iustificatio	NOMcom	Case=Gen|Numb=Plur	iustificationum
;	;	PUNC	MORPH=empty	;
et	et2	CONcoo	MORPH=empty	et
quod	qui1	PROrel	Case=Nom|Numb=Sing	quod
graece	graece	ADV	Deg=Pos	graece
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ad	ad2	PRE	MORPH=empty	ad
eiusdem	idem	PROdem	Case=Gen|Numb=Sing	eiusdem
sensus	sensus	NOMcom	Case=Gen|Numb=Sing	sensus
intellegentiam	intelligentia	NOMcom	Case=Acc|Numb=Sing	intellegentiam
latinitas	latinitas	NOMcom	Case=Nom|Numb=Sing	latinitas
explicare	explico	VER	Mood=Inf|Tense=Pres|Voice=Act	explicare
non	non	ADVneg	MORPH=empty	non
potuit	possum1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3	potuit
.	.	PUNC	MORPH=empty	.
propheta	propheta	VER	Numb=Sing	propheta
ergo	ergo2	CONcoo	MORPH=empty	ergo
orat	oro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	orat
ut	ut4	CONsub	MORPH=empty	ut
uiae	uia	NOMcom	Case=Gen|Numb=Sing	uiae
iustificationum	iustificatio	NOMcom	Case=Gen|Numb=Plur	iustificationum
suarum	suus	PROpos.ref	Case=Gen|Numb=Plur	suarum
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
sibi	sui1	PROref	Case=Dat|Numb=Sing	sibi
dominus	dominus	NOMcom	Case=Nom|Numb=Sing	dominus
constituat	constituo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	constituat
id	is	PROdem	Case=Nom|Numb=Sing	id
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	est
ut	ut4	CONsub	MORPH=empty	ut
qua	qui1	PROrel	Case=Abl|Numb=Sing	qua
lege	lex	NOMcom	Case=Abl|Numb=Sing	lege
uiam	uia	NOMcom	Case=Acc|Numb=Sing	uiam
iustificationum	iustificatio	NOMcom	Case=Gen|Numb=Plur	iustificationum
dei	deus	NOMcom	Case=Gen|Numb=Sing	dei
intellegat	intelligo	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	intellegat
et	et2	CONcoo	MORPH=empty	et
sciat	scio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3	sciat
.	.	PUNC	MORPH=empty	.
non	non	ADVneg	MORPH=empty	non
enim	enim2	CONcoo	MORPH=empty	enim
tantum	tantum1	PROdem	MORPH=empty	tantum
ait	aio	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	ait
sed	sed	CONcoo	MORPH=empty	sed
uiae	uia	NOMcom	Case=Dat|Numb=Sing	uiae
postulat	postulo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3	postulat
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
.	.	PUNC	MORPH=empty	.
Et	et2	CONcoo	MORPH=empty	et
quae	quis1	PROint	Case=Nom|Numb=Sing	quae
tandem	tandem	ADV	Deg=Pos	tandem
iustificationum	iustificatio	NOMcom	Case=Gen|Numb=Plur	iustificationum
lex	lex	NOMcom	Case=Nom|Numb=Sing	lex
erit	sum1	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=3	erit
nam	nam	CONcoo	MORPH=empty	nam
in	in	PRE	MORPH=empty	in
communibus	communis	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	communibus
et	et2	CONcoo	MORPH=empty	et
in	in	PRE	MORPH=empty	in
terrenis	terrenus	ADJqua	Case=Abl|Numb=Plur|Deg=Pos	terrenis
uiis	uia	NOMcom	Case=Abl|Numb=Plur	uiis
legem	lex	NOMcom	Case=Acc|Numb=Sing	legem
meminimus	memini	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1	meminimus
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act	esse
in	in	PRE	MORPH=empty	in
spatii	spatium	NOMcom	Case=Gen|Numb=Sing	spatii
mensuris	mensura	NOMcom	Case=Gen|Numb=Sing	mensuris
cum	cum3	CONsub	MORPH=empty	cum
passuum	passus1	NOMcom	Case=Gen|Numb=Plur	passuum
mille	mille	ADJcar	Case=Ind	mille
interuallo	interuallum	NOMcom	Case=Abl|Numb=Sing	interuallo
qusedam	quidam	PROind	Numb=Sing	qusedam
legis	lex	NOMcom	Case=Gen|Numb=Sing	legis
uiae	uia	NOMcom	Case=Gen|Numb=Sing	uiae
signa	signum	NOMcom	Case=Nom|Numb=Plur	signa
statuuntur	statuo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	statuuntur
cum	cum3	CONsub	MORPH=empty	cum
mansionum	mansio	NOMcom	Case=Gen|Numb=Plur	mansionum
requies	requies	NOMcom	Case=Nom|Numb=Sing	requies
disponitur	dispono	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3	disponitur
cum	cum3	CONsub	MORPH=empty	cum
usque	usque	ADV	Deg=Pos	usque
ad	ad2	PRE	MORPH=empty	ad
urbem	urbs	NOMcom	Case=Acc|Numb=Sing	urbem
refectioni	refectio	NOMcom	Case=Dat|Numb=Sing	refectioni
uiantium	uio	VER	Case=Gen|Numb=Plur|Mood=Par|Tense=Pres|Voice=Act	uiantium
congrua	congruo	VER	Numb=Sing|Mood=Imp|Tense=Pres|Person=2	congrua
rursum	rursus	ADV	Deg=Pos	rursum
mansionum	mansio	NOMcom	Case=Gen|Numb=Plur	mansionum
interualla	interuallum	NOMcom	Case=Nom|Numb=Plur	interualla
dimensa	dimetior	VER	Case=Nom|Numb=Plur|Mood=Par|Tense=Perf	dimensa
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3	sunt
.	.	PUNC	MORPH=empty	.
sed	sed	CONcoo	MORPH=empty	sed
etiam	etiam	ADV	Deg=Pos	etiam
tum	tum	ADV	Deg=Pos	tum
cum	cum3	CONsub	MORPH=empty	cum
ex	ex	PRE	MORPH=empty	ex
Aegypto	aegyptum	NOMcom	Case=Abl|Numb=Sing	aegypto
populus	populus?	NOMcom	Case=Nom|Numb=Sing	populus
per	per	PRE	MORPH=empty	per
rubrum	ruber	ADJqua	Case=Acc|Numb=Sing|Deg=Pos	rubrum
mare	mare	NOMcom	Case=Acc|Numb=Sing	mare
